,Description,Category,SubCategory1,SubCategory2,SubCategory3
853,in the Pijnboomstraat intersection Ahornstraat there are 3 Christmas trees from old and new. They are on the sidewalk against the facade of the school. Please remove these,Waste,Pollution New Year,Christmas trees,
854,The Christmas tree stands between large planters of the municipality. This has been there for a week.,Waste,Pollution New Year,Christmas trees,
855,"There are still Christmas trees in the street, please pick it up. MOR1975803 / MOR1987854",Waste,Pollution New Year,Christmas trees,
856,"There is a Christmas tree on the grass, this could be removed BVD",Waste,Pollution New Year,Christmas trees,
857,"Via BuitenBeter: ""This has been around for almost 2 weeks"" See photo",Waste,Pollution New Year,Christmas trees,
858,There is a Christmas tree at the HTM stop on Kneuterdijk. Stop 32002804.,Waste,Pollution New Year,Christmas trees,
859,Christmas tree has been here for several days to a week,Waste,Pollution New Year,Christmas trees,
860,There has been a Christmas tree on the sidewalk for a week.,Waste,Pollution New Year,Christmas trees,
861,Christmas tree has been roaming the streets for some time,Waste,Pollution New Year,Christmas trees,
862,"Entered via chat: See MOR1991806. Report has been sent to the HMS, but the situation has not changed. The Christmas trees are still there and there are more stray Christmas trees in the Kraayenstein district. Please pick up asap due to fire hazard. Previous message: Hello, in the flowerbed are still 4 to 5 Christmas trees that have ended up there, as they were never collected by the municipality. My girlfriend had already made a report when they were still neatly at the porch, but they have now ended up in the flowerbed, right in front of the porch. Lately there are still small fires from remnants of Christmas trees in the area. Can someone please come and remove these trees quickly before setting them on fire? Thanks in advance! ",Waste,Pollution New Year,Christmas trees,
863,Christmas tree has been around for more than 3 weeks and this is the second time I pass it on. The other waste lies for a few days.,Waste,Pollution New Year,Christmas trees,
864,"There has been a Christmas tree in the water for a while, this can be cleaned up BVD",Waste,Pollution New Year,Christmas trees,
865,BuitenBeter notification number 7400180 Status Sent Problem Litter on the street Description This Christmas tree has been roaming the street for weeks. Can you take it with you once? Address Christoffel Plantijnstraat 259 ,Waste,Pollution New Year,Christmas trees,
866,"Via BuitenBeter: ""Christmas Tree"" ",Waste,Pollution New Year,Christmas trees,
867,Christmas tree next to orac. ,Waste,Pollution New Year,Christmas trees,
868,"The trees have been picked up on the other side, but not on this side!",Waste,Pollution New Year,Christmas trees,
869,"Good morning, the Christmas tree collection vehicle has just been there, but I see they have left ours.",Waste,Pollution New Year,Christmas trees,
870,"3rd report about the ""Christmas trees"" !! Please remove urgently to prevent worse (eg Fire) Adoptant 11-009",Waste,Pollution New Year,Christmas trees,
871,Madam indicates that a kind of Christmas tree dump has been created in front of her door. Please pick up the Christmas trees asap.,Waste,Pollution New Year,Christmas trees,
872,"Christmas trees are still lying near the ORAC, because of the wind they are now also lying in the street",Waste,Pollution New Year,Christmas trees,
873,Christmas tree not picked up yesterday as stated in the house calendar.,Waste,Pollution New Year,Christmas trees,
874,"Ms. indicates the following: ""The waste calendar states that Christmas trees would be collected last Monday and last Monday. This did not happen, now they have been outside for over a week."" Please pick up asap.",Waste,Pollution New Year,Christmas trees,
875,"Christmas tree was offered outside last week, but not taken. Not today either.",Waste,Pollution New Year,Christmas trees,
876,"Christmas trees not collected in the entire neighborhood, despite being in the calendar for today",Waste,Pollution New Year,Christmas trees,
877,"Mrs. Her Christmas tree has not been picked up today, she is afraid that it will be set on fire because she is on the way to dune village. She wants to know as soon as possible when this will be picked up because she is afraid.",Waste,Pollution New Year,Christmas trees,
878,Mister indicates that there are still Christmas trees in his street. Can these be picked up asap today please?,Waste,Pollution New Year,Christmas trees,
879,Mr. today put the Christmas tree outside on time. Unfortunately not taken. Please still pick up the Christmas tree,Waste,Pollution New Year,Christmas trees,
880,"Ms. indicates that the Christmas trees that would be picked up today are always set on fire by young people. This has now been put out by the neighbors and the lady herself. Can these be cleaned up immediately, please?",Waste,Pollution New Year,Christmas trees,
881,Mr. indicates that a lot of Christmas trees have not been collected. Would these be removed asap please?,Waste,Pollution New Year,Christmas trees,
882,This morning the Christmas trees in my street would be picked up according to the schedule. This did not happen. Please pick it up.,Waste,Pollution New Year,Christmas trees,
883,Number of Christmas trees placed on the sidewalk. Notification of refrigerator has been made.,Waste,Pollution New Year,Christmas trees,
884,Christmas tree placed next to the orac.,Waste,Pollution New Year,Christmas trees,
885,8 Christmas trees at the oracs,Waste,Pollution New Year,Christmas trees,
886,"Mr. indicates that there are several Christmas trees on the Kamperfoelieplein, because the website stated that you could take them there. However, they were never picked up.",Waste,Pollution New Year,Christmas trees,
887,There has been a Christmas tree in front of Cafe de Beek for more than a week,Waste,Pollution New Year,Christmas trees,
888,Placement of a number of Christmas trees next to the orac.,Waste,Pollution New Year,Christmas trees,
889,"3 Christmas trees have been in the bin for 7 days, I would like to see them picked up.",Waste,Pollution New Year,Christmas trees,
890,Christmas trees on the street,Waste,Pollution New Year,Christmas trees,
891,Christmas trees at the ORACs,Waste,Pollution New Year,Christmas trees,
892,Mlder indicates that the Christmas trees were not collected due to collection. Please delete,Waste,Pollution New Year,Christmas trees,
893,"We are located on the Lange Vijverberg (Staybridge Suites) and someone, presumably a resident of the Hoge Nieuwstraat, has put a Christmas tree on the sidewalk against our facade.This is at the rear of our building, Hoge Nieuwstraat 19 Would you please can have us removed?",Waste,Pollution New Year,Christmas trees,
894,Bicycle broke at the gate and Christmas trees at the alberthijn parking lot,Waste,Pollution New Year,Christmas trees,
895,Sidewalk is full of Christmas trees,Waste,Pollution New Year,Christmas trees,
896,Christmas tree next to orac 941,Waste,Pollution New Year,Christmas trees,
897,Please pick up 2 Christmas trees on Moebeiplein.,Waste,Pollution New Year,Christmas trees,
898,The Christmas trees were not picked up in Elize van Elise van Calcarstraat.,Waste,Pollution New Year,Christmas trees,
899,"Ms indicated that she had already made a report on Wednesday, which I unfortunately cannot find. It concerns 4 Christmas trees. Ms indicates that there is great urgency. If the Christmas trees are set on fire, the cars will also be burned, she indicates. Under the gate in the marcelisstraat there are also 2 Christmas trees and a mattress.",Waste,Pollution New Year,Christmas trees,
900,Vledderstraat corner Hoogeveenlaan orac Christmas tree,Waste,Pollution New Year,Christmas trees,
901,"Ms indicates that she had put her Christmas tree outside with other residents before January 7th. Unfortunately, only the smaller trees have been included, and the large trees are still there. can these still be taken for the next collection day?",Waste,Pollution New Year,Christmas trees,
902,Zweelostraat corner Demsvaartweg orac Christmas tree,Waste,Pollution New Year,Christmas trees,
903,It is a Christmas tree on the Middenplein (see photo).,Waste,Pollution New Year,Christmas trees,
904,"There are 5 Christmas trees in the street, since Monday. ",Waste,Pollution New Year,Christmas trees,
905,There are about 14 Christmas trees next to the containers.,Waste,Pollution New Year,Christmas trees,
906,"There are 3 Christmas trees in front of a mobility scooter loft. People cannot reach their mobility scooter. Has already been called about, but no action has been taken yet.",Waste,Pollution New Year,Christmas trees,
907,"Christmas tree has not been picked up and this would happen on January 7, 2020 according to the calendar. Please pick this up after all.",Waste,Pollution New Year,Christmas trees,
908,Maartensdijklaan corner of Windesheimstraat Christmas tree near Orac,Waste,Pollution New Year,Christmas trees,
909,"The reporter indicates that a report was made on Monday about the Christmas trees that were not collected from her in the street, a report had already been made under bulky waste. MOR 1955849 .. Mevroue is afraid that the Christmas trees will be set on fire at the weekend. This applies to the entire neighborhood. Can this be collected as soon as possible?",Waste,Pollution New Year,Christmas trees,
910,Next to placement 3 Christmas trees is waiting for transport,Waste,Pollution New Year,Christmas trees,
911,Christmas tree left on the street,Waste,Pollution New Year,Christmas trees,
912,Christmas tree at parking payment column 43161.,Waste,Pollution New Year,Christmas trees,
913,"Ms indicates that the Christmas trees would be collected yesterday, as indicated in the household waste calendar. This did not happen. Please pick up as soon as possible.",Waste,Pollution New Year,Christmas trees,
914,"Christmas trees were not picked up on Monday, January 6, as reported on your site.",Waste,Pollution New Year,Christmas trees,
915,Christmas trees in Arendsdorp near the statue of the deer. Part has already been burned and there are new ones. Please take away as soon as possible,Waste,Pollution New Year,Christmas trees,
916,Christmas trees next to container can these be taken?,Waste,Pollution New Year,Christmas trees,
917,There is a Christmas tree next to the orac in the Neptunusstraat.,Waste,Pollution New Year,Christmas trees,
918,Via BuitenBeter: 3-4 Christmas trees placed between the ORACS. ,Waste,Pollution New Year,Christmas trees,
919,Via BuitenBeter: Christmas Tree ,Waste,Pollution New Year,Christmas trees,
920,Christmas tree not collected on the day according to the garbage calendar.,Waste,Pollution New Year,Christmas trees,
921,"The waste calendar stated that the Christmas trees would be collected on both Friday January 3, 2020 and Tuesday January 7, 2020. This did not happen on either day. Please remove the trees before the youth set them on fire.",Waste,Pollution New Year,Christmas trees,
922,There have been 2 Christmas trees in the street for a number of days ,Waste,Pollution New Year,Christmas trees,
923,"There are still fire residues on the lawn, when will this be cleaned up?",Waste,Pollution New Year,Christmas trees,
924,The Christmas trees in the entire street were not collected on Tuesday. This was planned in the household waste calendar.,Waste,Pollution New Year,Christmas trees,
925,Next to the placement of the Christmas tree is waiting for transport.,Waste,Pollution New Year,Christmas trees,
926,Via BuitenBeter: Several Christmas trees. Youth tries to set this one on fire.,Waste,Pollution New Year,Christmas trees,
927,Via BuitenBeter: Yesterday Christmas tree collection day according to the DenHaag waste calendar. All streets in the district are full of Christmas trees. Nothing collected.,Waste,Pollution New Year,Christmas trees,
928,Via BuitenBeter: There is a whole pile of Christmas trees that they did not collect today. Now blocks the entire sidewalk.,Waste,Pollution New Year,Christmas trees,
929,Via BuitenBeter: Christmas tree placed next to the ORAC.,Waste,Pollution New Year,Christmas trees,
930,"Christmas tree on the sidewalk, can it be taken?",Waste,Pollution New Year,Christmas trees,
931,"On January 7, the Christmas trees were to be picked up at noordeinde In oranjestraat and noordeinde they are still in abundance",Waste,Pollution New Year,Christmas trees,
932,"Just like last year, Christmas trees were not picked up on the household waste calendar yesterday",Waste,Pollution New Year,Christmas trees,
933,Christmas tree next to orac 1011,Waste,Pollution New Year,Christmas trees,
934,5 Christmas trees next to orac,Waste,Pollution New Year,Christmas trees,
935,"Christmas trees, these can be taken along",Waste,Pollution New Year,Christmas trees,
936,There is a Christmas tree on the sidewalk. Can it be taken?,Waste,Pollution New Year,Christmas trees,
937,Via BuitenBeter: Christmas trees,Waste,Pollution New Year,Christmas trees,
938,"Christmas trees were not picked up last Tuesday, about 5 of them are on the sidewalk",Waste,Pollution New Year,Christmas trees,
939,Via BuitenBeter: Pile of Christmas trees (fire hazard),Waste,Pollution New Year,Christmas trees,
940,Via BuitenBeter: Christmas tree still not collected,Waste,Pollution New Year,Christmas trees,
941,Unfortunately today the Christmas trees have not been removed either. Could you tell me when a new date is scheduled. I would like to hear from you. Mvg Engela van der wel-Senff Source: e-mail 07-01-2020 18:02 nav contact form 06-01-2020 16:02. ,Waste,Pollution New Year,Christmas trees,
942,Via BuitenBeter: Christmas tree for the ORACS. ,Waste,Pollution New Year,Christmas trees,
943,"The Christmas trees were not collected in the Wilde Gagel, they ended up on the street due to the emptying of the containers. ",Waste,Pollution New Year,Christmas trees,
944,"In Laan van Wateringseveld thc 1096 (next to the skating rink, next to the green container) there are many (11 to 12 pieces) cherry trees. These were supposed to be picked up on January 8, but this has not happened.",Waste,Pollution New Year,Christmas trees,
945,"The garbage calendar says that Christmas trees were collected last January 6, but they are still all over the street, but they also blow in front of and against cars. There are about 24 Christmas trees throughout the neighborhood. Please pick it up",Waste,Pollution New Year,Christmas trees,
946,"Christmas trees have not yet been removed, have been there from Tuesday",Waste,Pollution New Year,Christmas trees,
947,Bulky waste glass plate and Christmas trees,Waste,Pollution New Year,Christmas trees,
948,The Christmas trees were not picked up on Monday in the entire Pieter de Voisstraat. They are now waiting next to the collection container.,Waste,Pollution New Year,Christmas trees,
949,Several Christmas trees are still in the street,Waste,Pollution New Year,Christmas trees,
950,"Today 6 January 2020 Christmas tree collection day route Hermelijnrade, The Hague. Three Christmas trees placed at oracs before 7:45 am. In accordance with the household waste calendar and reporting by the municipality of The Hague. Now, 11.30 pm NOT yet picked up. Considering the population of the district (fireworks are still lit and fired): fire hazard immediately next to parked cars.",Waste,Pollution New Year,Christmas trees,
951,Someone has thrown a can of paint into the underground container. Sidewalk and container now covered in white paint.,Waste,Chemical waste,Paint on the street,
952,"There is a battery on the cycle path next to the N11, which has been placed at the 2nd light pole from the Bezuidenhoutseweg.",Waste,Chemical waste,Battery,
953,there is a battery at the end of the parking lot. Please remove this ,Waste,Chemical waste,Battery,
954,Battery left on the street looks like a car battery,Waste,Chemical waste,Battery,
955,"In addition to car tires, a battery has also been dumped at the underground containers in the brush strip across from nr 2 ",Waste,Chemical waste,Battery,
956,Battery in the bushes,Waste,Chemical waste,Battery,
957,"There are about 6 corrugated sheets in a parking lot, these were first in a container of van Nierop and he threw out the corrugated sheets, corrugated sheets with asbestos",Waste,Chemical waste,Asbestos,
958,Mister indicates that asbestos work is currently taking place in his street at number 40-41 here they are busy removing asbestos he has been told by his neighbors that asbestos has been dumped in the containers at the door . sir has children playing in the street. And want this to be removed as soon as possible.,Waste,Chemical waste,Asbestos,
959,Report from the police that there is probably asbestos in the trash can at the stop of tram 2 and tram 6.,Waste,Chemical waste,Asbestos,
960,Asbestos has been illegally dumped by someone. Can that be picked up.,Waste,Chemical waste,Asbestos,
961,House is being demolished. The waste with asbestos is thrown down in open bags. Can this be done another way. Vestia is going to build new buildings here. Reporter has COPD and has respiratory problems.,Waste,Chemical waste,Asbestos,
962,"Mrs. reports that after an appointment bulky waste, a balcony container with asbestos was left. It now roams everywhere and nowhere.",Waste,Chemical waste,Asbestos,
963,The gentleman suspects that tarpaulin containing asbestos has been placed in the debris container. This red container is there for construction / demolition work at Vlierboomstraat 13. can be viewed here.,Waste,Chemical waste,Asbestos,
964,asbestos flower box in garbage bag has remained after collection of bulky waste,Waste,Chemical waste,Asbestos,
965,Illegally dumped asbestos (7 cases),Waste,Chemical waste,Asbestos,
966,"The reporter is replacing window frames (Decovitra BV) on the Lange Vijverberg, he indicates that someone has placed asbestos pipes next to his rubble container. Please remove asap.",Waste,Chemical waste,Asbestos,
967,Mr. Belt because his neighbor has asbestos on the roof. Want this to be removed as soon as possible. Can't open his roof window because of this.,Waste,Chemical waste,Asbestos,
968,"Notification asbestos dumping recreation area Madestein. Behind the training area, police dogs Levendhaven. Children and animals walk here and cars of the police drive over them. Apparently they didn't take it too seriously this morning.",Waste,Chemical waste,Asbestos,
969,detector has asbestos roofs (corrugated iron) on the floor against the wall. placed in such a way that pieces have broken off at the bottom. This releases fiber. there are 2 pieces. 1.5 to 2 meters approx.,Waste,Chemical waste,Asbestos,
970,These asbestos plates are life-threatening,Waste,Chemical waste,Asbestos,
971,Gentleman is calling because 2 asbestos plates have been spotted on the street. want it to be removed immediately.,Waste,Chemical waste,Asbestos,
972,Most likely slab asbestos dumped at Oracs. Please take this very seriously !!! Perhaps the resident of house number 51 saw something with the camera.,Waste,Chemical waste,Asbestos,
973,"Reported the presence of the shopping cart four days ago. Consciously let it lie, though my hands itch. Why am I leaving it? Because I was told during a meeting at the Council of State that ORACs do not provoke 'next placement'. So it's a matter of gathering evidence. There is now a corrugated iron next to it (asbestos?).",Waste,Chemical waste,Asbestos,
974,Mister indicates that he has found pieces of asbestos on a playground! He has already thrown away a number of pieces. Can this be cleaned urgently?,Waste,Chemical waste,Asbestos,
975,on the Brinckerinckstraat near the collection point for garbage is a mountain of waste and also a bag with asbestos plates in it. and they have broken down and crumbled and they are now open and bare.,Waste,Chemical waste,Asbestos,
976,there are bags of asbestos and other combustible dirt on an unsealed trailer near the sligro,Waste,Chemical waste,Asbestos,
977,"car tires, construction and demolition waste and a bucket of wood on the street. Has been there for days. Please delete",Waste,Chemical waste,Car tires,
978,2 car tires and part of a frame.,Waste,Chemical waste,Car tires,
979,Autoband has been roaming the strausslaan for a while,Waste,Chemical waste,Car tires,
980,Car tire on the park. Please take away.,Waste,Chemical waste,Car tires,
981,Bulky waste report Please remove pile with car tires dumped under bicycle tunnel,Waste,Chemical waste,Car tires,
982,There is a large band in the bushes around Newtonplein near Professor Kaisterstraat.,Waste,Chemical waste,Car tires,
983,Now even car tires at containers weteringplein the hague,Waste,Chemical waste,Car tires,
984,Car tires dumped in the bushes near the ditch,Waste,Chemical waste,Car tires,
985,3 car tires in the lawn,Waste,Chemical waste,Car tires,
986,"Since last week, there are car tires in the street. These are presented as bulky waste.",Waste,Chemical waste,Car tires,
987,There are 8 car tires dumped here.,Waste,Chemical waste,Car tires,
988,there are car tires next to the oracs ,Waste,Chemical waste,Car tires,
989,there is a car tire next to the oracs ,Waste,Chemical waste,Car tires,
990,Brush rush opposite No. 2 at the underground container,Waste,Chemical waste,Car tires,
991,Car tire in bushes at school,Waste,Chemical waste,Car tires,
992,Bulky waste car tires,Waste,Chemical waste,Car tires,
993,There are 4 car tires on the public road. The resident thinks this is dangerous. Please remove this asap.,Waste,Chemical waste,Car tires,
994,Car tires next to orac.,Waste,Chemical waste,Car tires,
995,Car tire (bulky waste) next to ORAC.,Waste,Chemical waste,Car tires,
996,There are about 6 car tires Laan van poot towards the Houtrustweg,Waste,Chemical waste,Car tires,
997,All kinds of waste has been dumped at various places in the green area of ​​the municipality,Waste,Chemical waste,Car tires,
998,"Via BB: ""Car tires placed at orac""",Waste,Chemical waste,Car tires,
999,"Hello, I have reported this several times, and now I think someone has been from Stedin and put it behind the tree. It used to be in front of the Stedin door. But of course it did not open anymore. I hope the municipality will finally clear it up.",Waste,Chemical waste,Car tires,
1000,car tires on the street. HHT did not like to have this sorted out by anyone including a trolley.,Waste,Chemical waste,Car tires,
1001,there are some car tires on the street,Waste,Chemical waste,Car tires,
1002,"- Waste, I have reported this 2 times before, but it has not been removed, is dirt from the magnet fishing",Waste,Chemical waste,Car tires,
1003,Car tires on sidewalk Please remove them Thank you,Waste,Chemical waste,Car tires,
1004,Car tires at orac 10VO1530,Waste,Chemical waste,Car tires,
1005,Neighbor of Burgemeester Jansenstraat 1 has moved tires to another location. Continues to take out illegal waste. There are camera images,Waste,Chemical waste,Car tires,
1006,"Car tires spilled on the street, images of the perpetrator may be available. It may be a resident of this street.",Waste,Chemical waste,Car tires,
1007,Can residues that have fallen from a debris container be removed? ,Waste,Bulky waste,Construction and demolition waste,
1008,"There is a frame with broken glass in the bushes, next to the lawn. Very dangerous for children playing!",Waste,Bulky waste,Construction and demolition waste,
1009,"bulky waste already made, there is also construction and demolition waste",Waste,Bulky waste,Construction and demolition waste,
1010,The detector indicates that there are debris bags on the street with tiles. Please delete,Waste,Bulky waste,Construction and demolition waste,
1011,Second request dumping toilet. Still present.,Waste,Bulky waste,Construction and demolition waste,
1012,"A huge amount of bulky waste, construction and demolition waste dumped. Looks like a dump place. It has been there for a year and a half and is getting worse",Waste,Bulky waste,Construction and demolition waste,
1013,"Mister indicates that curbs have been dumped along the track at Willem Dreespark, on the side of the school for children who are difficult to educate. Can these be removed?",Waste,Bulky waste,Construction and demolition waste,
1014,Ms indicates that there are now two pallets on the sidewalk for about 4 weeks. Please pick up.,Waste,Bulky waste,Construction and demolition waste,
1015,Construction waste lies next to this porch,Waste,Bulky waste,Construction and demolition waste,
1016,Yes when placed with container 0240. WC Pot,Waste,Bulky waste,Construction and demolition waste,
1017,Construction waste from Loosduinsekade 249,Waste,Bulky waste,Construction and demolition waste,
1018,debris but also rest,Waste,Bulky waste,Construction and demolition waste,
1019,There are a lot of paving stones stacked on the road ,Waste,Bulky waste,Construction and demolition waste,
1020,Bag of tiles at orac,Waste,Bulky waste,Construction and demolition waste,
1021,On the Leyweg at the height of 1630 tiles have been dumped in the green. See picture.,Waste,Bulky waste,Construction and demolition waste,
1022,"Stack of wooden planks, see photo.",Waste,Bulky waste,Construction and demolition waste,
1023,"heavy plaster blocks on the street, see photo",Waste,Bulky waste,Construction and demolition waste,
1024,Police control room indicates that there is a large concrete block in the middle of the intersection. The request to remove this urgently.,Waste,Bulky waste,Construction and demolition waste,
1025,"There are planks, nails, tiles and laminate in the parking lot. Would you like to send someone over? This is extremely dangerous for motorists",Waste,Bulky waste,Construction and demolition waste,
1026,toilet not included neighbors with bulky waste appointment,Waste,Bulky waste,Construction and demolition waste,
1027,The detector indicates that there is bulky waste on the street. It is a toilet bowl. Please delete,Waste,Bulky waste,Construction and demolition waste,
1028,There is a whole pile of sand in a parking space. This has been left by people who have opened the street for work.,Waste,Bulky waste,Construction and demolition waste,
1029,Wooden planks etc. placed near the tree. See picture.,Waste,Bulky waste,Construction and demolition waste,
1030,At this address are mattresses and construction waste (rubble) at the orac's,Waste,Bulky waste,Construction and demolition waste,
1031,Concrete post and wooden planks next to oracs,Waste,Bulky waste,Construction and demolition waste,
1032,Mr. reports that fences and a container were left behind after the construction work. Could these be removed?,Waste,Bulky waste,Construction and demolition waste,
1033,These tiles have been on the sidewalk for 2 months now. They are new but arrived and apparently over.,Waste,Bulky waste,Construction and demolition waste,
1034,A toilet is on the side of the flat ,Waste,Bulky waste,Construction and demolition waste,
1035,Bulky waste: including marble floor tiles.,Waste,Bulky waste,Construction and demolition waste,
1036,Toilet bowl on the public road.,Waste,Bulky waste,Construction and demolition waste,
1037,WC Pot placed at an ORAC,Waste,Bulky waste,Construction and demolition waste,
1038,Shopping cart Aldi (which is not close at all ...) with stones and stones on the sidewalk.,Waste,Bulky waste,Construction and demolition waste,
1039,"polystyrene foam, plastic containers, cardboard",Waste,Bulky waste,Construction and demolition waste,
1040,A safe has been removed from the water at trem stop nieuwedamlaan and there is also a pipe and iron stop that can be removed,Waste,Bulky waste,Construction and demolition waste,
1041,VIA TWITTER SEE PHOTO ---------------------------------------------- -------------------------------------------------- ---------------------------------- This mess has been there for a while @GemeenteDenHaag. Between Zuidlarenstraat and Gasseltestraat. ,Waste,Bulky waste,Construction and demolition waste,
1042,Toilet bowl and tube with container 1435,Waste,Bulky waste,Construction and demolition waste,
1043,"toilet bowl, painting material, etc.",Waste,Bulky waste,Construction and demolition waste,
1044,Building materials have been here for 2 weeks and nothing is being done with them,Waste,Bulky waste,Construction and demolition waste,
1045,illegal. construction and demolition waste. (bathroom),Waste,Bulky waste,Construction and demolition waste,
1046,"Via BB: ""Deposited debris""",Waste,Bulky waste,Construction and demolition waste,
1047,Someone has been kind enough to dump construction waste in the parking lot at the Uithof,Waste,Bulky waste,Construction and demolition waste,
1048,debris bag next to orac,Waste,Bulky waste,Construction and demolition waste,
1049,the location Nunspeetlaan corner Terletstraat at house number 420 an illegal bulky waste placement has been detected. This concerns a sofa and wooden planks. ,Waste,Bulky waste,Construction and demolition waste,
1050,Thick glass and other construction and demolition waste. Also includes cupboards.,Waste,Bulky waste,Construction and demolition waste,
1051,There is a toilet bowl next to the orac. ,Waste,Bulky waste,Construction and demolition waste,
1052,n> wehlstraat bulky waste,Waste,Bulky waste,Construction and demolition waste,
1053,roofing parking lot de uithof,Waste,Bulky waste,Construction and demolition waste,
1054,"Mr. contacted us to indicate that a table tennis has been dumped in the Lichtenbergstraat and 10 meters further Mr. indicates that there is a place where a tree will be placed, but construction and demolition waste has been deposited there. ",Waste,Bulky waste,Construction and demolition waste,
1055,"There is a lot of bulky waste on the street. More and more is added. A radiator has now also been added. there is everything, toys, wood, waste bins etc.",Waste,Bulky waste,Construction and demolition waste,
1056,Illegal construction waste has been dumped at lamppost 55,Waste,Bulky waste,Construction and demolition waste,
1057,There is a toilet bowl next to the orac.,Waste,Bulky waste,Construction and demolition waste,
1058,bag with construction waste,Waste,Bulky waste,Construction and demolition waste,
1059,nav MOR2299486: the 2 large white bags of sand are still there. Mr. received a message from the department that nothing is there. But that's not right. Can you remove this asap please,Waste,Bulky waste,Construction and demolition waste,
1060,There are 2 garbage bags with sand. This was dumped by someone who put it there by car. Can this be picked up please?,Waste,Bulky waste,Construction and demolition waste,
1061,Pallets dumped. Fire hazard,Waste,Bulky waste,Construction and demolition waste,
1062,"Unauthorized bulky waste, start of the street, crossing Hengelolaan 2 toilet bowls and a tavel model refrigerator",Waste,Bulky waste,Construction and demolition waste,
1063,See photo ..... litter / construction waste,Waste,Bulky waste,Construction and demolition waste,
1064,2 PVC pipes of about 5 meters along the ditch side in the grass. Please take it with you,Waste,Bulky waste,Construction and demolition waste,
1065,Crap from giesbers for 8 months. Already asked to clean up but not heeded,Waste,Bulky waste,Construction and demolition waste,
1066,Two toilet bowls with container 0285,Waste,Bulky waste,Construction and demolition waste,
1067,Kitchen door made of plastic with double glazing,Waste,Bulky waste,Construction and demolition waste,
1068,Mister calls because he had an appointment for bulky waste today and the neighbors also added demolition waste. He wants to pass this on because he does not want to receive a fine later,Waste,Bulky waste,Construction and demolition waste,
1069,There has been a cement container for a while where waste is put in and where cloudy water remains and starts to smell,Waste,Bulky waste,Construction and demolition waste,
1070,Placement of a toilet bowl next to 18 RB0414,Waste,Bulky waste,Construction and demolition waste,
1071,Garden tiles at the ditch side,Waste,Bulky waste,Construction and demolition waste,
1072,The reporter indicates that various items have been dumped on the street. Please delete,Waste,Bulky waste,Construction and demolition waste,
1073,"It concerns construction waste that has been there for a few weeks (see photo). Lies among the greenery near a gray probably electricity box. The reporter indicates that he has already reported this, but is still standing.",Waste,Bulky waste,Construction and demolition waste,
1074,Car tires on the street,Waste,Bulky waste,Construction and demolition waste,
1075,"There have been paving stones in the grass here for some time now. Grass has already been mowed regularly, but the tiles are simply passed over. The youth has already thrown a few tiles. It would be nice if they were removed. Mvg Yvonne",Waste,Bulky waste,Construction and demolition waste,
1076,"Mrs. reports that quite a lot of sand (about 1.5 meters high) has been left by the contractor. This is related to the installation of fiber optic cable, whereby the street has been broken open. The mountains of sand is still there. This ended up there because KPN installed fiber in the street. They dumped the remaining sand. It is spread all over the street, the worst situation being at the bridge. Bridge is located on the corner of Beilenstraat / Zuidlarenstraat.",Waste,Bulky waste,Construction and demolition waste,
1077,"construction demolition waste stone pallet, debris.",Waste,Bulky waste,Construction and demolition waste,
1078,There is construction waste here.,Waste,Bulky waste,Construction and demolition waste,
1079,Ms indicates that a washbasin was installed 14 days ago and is still there today. The sink is misrepresented next to the orac's which are closed. ,Waste,Bulky waste,Construction and demolition waste,
1080,The stones have been around for a long time and there is a good chance that an adult or child will trip and fall.,Waste,Bulky waste,Construction and demolition waste,
1081,"We find this just in front of our house. This makes our home very sensitive to burglary! climbing over the wall is therefore very easy, so we are really not happy with this! Can action be taken on this as soon as possible? In any case, it is also partly in front of the exit of our back entrance through the garden!",Waste,Bulky waste,Construction and demolition waste,
1082,There is a bucket of concrete in front of the flat. Can this be removed.,Waste,Bulky waste,Construction and demolition waste,
1083,Mr. calls to inform us that a contractor is grinding construction tile at Jan Luykenlaan 189 every day (including Saturdays and Sundays) and then places it next to the orac ,Waste,Bulky waste,Construction and demolition waste,
1084,bulky waste on the street,Waste,Bulky waste,Construction and demolition waste,
1085,Kuinrestraat corner of Maartensdijklaan are 28 discarded pavement tiles near lamppost,Waste,Bulky waste,Construction and demolition waste,
1086,"toilet bowl, container and broken bicycle have been here for over a week. Location is a Post-nl depot. We are getting a bit sick of this view",Waste,Bulky waste,Construction and demolition waste,
1087,Construction and demolition waste has been lying around for several weeks,Waste,Bulky waste,Construction and demolition waste,
1088,washbasin has been outside by the tree since Sunday 6 Dec.,Waste,Bulky waste,Construction and demolition waste,
1089,Mr. wants to report a washbasin on the public road. Please delete.,Waste,Bulky waste,Construction and demolition waste,
1090,"in recent months, construction workers have worked in the p langendijkstr and have now left a lot of wood behind. local residents also add a lot",Waste,Bulky waste,Construction and demolition waste,
1091,There are pieces of floor tiles near a tree.,Waste,Bulky waste,Construction and demolition waste,
1092,"KPN lays cables in the street and illegally deposits mountains of sand near the bushes near a bridge. This concerns large quantities of sand that is dumped there, instead of being removed.",Waste,Bulky waste,Construction and demolition waste,
1093,The reporter indicates that debris is being dumped in the container and construction and demolition waste is also being put next to it. Please remove asap.,Waste,Bulky waste,Construction and demolition waste,
1094,Car tires and a jerry can have been there for weeks,Waste,Bulky waste,Construction and demolition waste,
