,Description,Category,SubCategory1,SubCategory2,SubCategory3
2822,There are two car tires and a frame.,Waste,Chemical waste,Chemical waste,Chemical waste
2823,Part of a frame of a car.,Waste,Chemical waste,Chemical waste,Chemical waste
2824,"For a while, autoband was roaming the strausslaan.",Waste,Chemical waste,Chemical waste,Chemical waste
2825,The strausslaan has had autoband roaming for a while.,Waste,Chemical waste,Chemical waste,Chemical waste
2826,The strausslaan has been visited by autoband for a while.,Waste,Chemical waste,Chemical waste,Chemical waste
2827,The strausslaan has been home to autoband for a while.,Waste,Chemical waste,Chemical waste,Chemical waste
2828,There is a car tire in the park.,Waste,Chemical waste,Chemical waste,Chemical waste
2829,There is a car in the park.,Waste,Chemical waste,Chemical waste,Chemical waste
2830,There is a pile of car tires under the bicycle tunnel.,Waste,Chemical waste,Chemical waste,Chemical waste
2831,There is a pile of car tires under the bike tunnel.,Waste,Chemical waste,Chemical waste,Chemical waste
2832,There is a large band in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2833,There is a large group of people in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2834,There is a band in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2835,Car tires are at containers.,Waste,Chemical waste,Chemical waste,Chemical waste
2836,Car tires can be found at containers.,Waste,Chemical waste,Chemical waste,Chemical waste
2837,There are car tires at containers.,Waste,Chemical waste,Chemical waste,Chemical waste
2838,There are tires in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2839,The tires were dumped in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2840,There are car tires in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2841,There are tires in the bushes near the ditch.,Waste,Chemical waste,Chemical waste,Chemical waste
2842,There are car tires in the grass.,Waste,Chemical waste,Chemical waste,Chemical waste
2843,There are car tires in the lawn.,Waste,Chemical waste,Chemical waste,Chemical waste
2844,There are tires in the lawn.,Waste,Chemical waste,Chemical waste,Chemical waste
2845,There are tires in the grass.,Waste,Chemical waste,Chemical waste,Chemical waste
2846,There are car tires in the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2847,Car tires are presented as bulky waste.,Waste,Chemical waste,Chemical waste,Chemical waste
2848,The car tires are presented as bulky waste.,Waste,Chemical waste,Chemical waste,Chemical waste
2849,There are tires here.,Waste,Chemical waste,Chemical waste,Chemical waste
2850,The tires are dumped here.,Waste,Chemical waste,Chemical waste,Chemical waste
2851,There are tires in this area.,Waste,Chemical waste,Chemical waste,Chemical waste
2852,There are car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2853,There are tires near the oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
2854,Next to the oracs there are car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2855,There are tires next to the oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
2856,There is a tire near the oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
2857,Next to the oracs is a car tire.,Waste,Chemical waste,Chemical waste,Chemical waste
2858,There is a tire next to the oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
2859,The underground container has a brush rush opposite it.,Waste,Chemical waste,Chemical waste,Chemical waste
2860,The underground container has a brush rush next to it.,Waste,Chemical waste,Chemical waste,Chemical waste
2861,There is an underground container with brush rush opposite it.,Waste,Chemical waste,Chemical waste,Chemical waste
2862,There is a car in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2863,There is a car in the school yard.,Waste,Chemical waste,Chemical waste,Chemical waste
2864,The car is in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2865,A car is in the bushes.,Waste,Chemical waste,Chemical waste,Chemical waste
2866,A car is in the school yard.,Waste,Chemical waste,Chemical waste,Chemical waste
2867,There are a lot of waste car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2868,A lot of waste car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2869,Waste car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2870,The resident thinks the tires on the road are dangerous.,Waste,Chemical waste,Chemical waste,Chemical waste
2871,There are tires on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
2872,There are car tires on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
2873,There are 4 tires on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
2874,Next to orac is a car tire.,Waste,Chemical waste,Chemical waste,Chemical waste
2875,The car tires are near the orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2876,A car is next to an orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2877,The car tires are outside.,Waste,Chemical waste,Chemical waste,Chemical waste
2878,There is a car tire next to ORAC.,Waste,Chemical waste,Chemical waste,Chemical waste
2879,Next to ORAC is a car tire.,Waste,Chemical waste,Chemical waste,Chemical waste
2880,There is a car tire near the ORAC.,Waste,Chemical waste,Chemical waste,Chemical waste
2881,Laan van poots towards the Houtrustweg with about 6 car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2882,There are tires on Laan van poot.,Waste,Chemical waste,Chemical waste,Chemical waste
2883,There are 6 tires on Laan van.,Waste,Chemical waste,Chemical waste,Chemical waste
2884,There are about 6 car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2885,There are various places in the green area where waste has been dumped.,Waste,Chemical waste,Chemical waste,Chemical waste
2886,There are many places in the green area where waste has been dumped.,Waste,Chemical waste,Chemical waste,Chemical waste
2887,All kinds of waste have been dumped in the green area.,Waste,Chemical waste,Chemical waste,Chemical waste
2888,There is a lot of waste dumped in the green area.,Waste,Chemical waste,Chemical waste,Chemical waste
2889,The car tires were placed at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2890,Car tires are placed at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2891,There are car tires placed at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2892,"It used to be in front of the door, but now it is behind a tree.",Waste,Chemical waste,Chemical waste,Chemical waste
2893,There are car tires on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2894,There are car tires on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
2895,There are tires on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2896,HHT didn't want anyone to sort out the tires on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2897,There are tires on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2898,There are tires on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
2899,There are tires on a car.,Waste,Chemical waste,Chemical waste,Chemical waste
2900,Some car tires are on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2901,"I have reported this before, but it has not been removed.",Waste,Chemical waste,Chemical waste,Chemical waste
2902,I have reported this before but it has not been removed.,Waste,Chemical waste,Chemical waste,Chemical waste
2903,Please remove the car tires from the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
2904,There are car tires on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
2905,Thank you for removing car tires from the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
2906,There are car tires at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2907,The car tires are at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2908,Car tires at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2909,There are tires at orac.,Waste,Chemical waste,Chemical waste,Chemical waste
2910,At orac 10VO1530 there are car tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2911,The neighbor of Burgemeester is taking out illegal waste.,Waste,Chemical waste,Chemical waste,Chemical waste
2912,The neighbor of Burgemeester has moved tires to another location.,Waste,Chemical waste,Chemical waste,Chemical waste
2913,The neighbor of Burgemeester has taken out illegal waste.,Waste,Chemical waste,Chemical waste,Chemical waste
2914,The neighbor of Burgemeester has moved tires.,Waste,Chemical waste,Chemical waste,Chemical waste
2915,Images of the person who spilled the tires on the street may be available.,Waste,Chemical waste,Chemical waste,Chemical waste
2916,There are images of the person who spilled the car tires on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
2917,Is it possible to remove debris that has fallen from a container?,Waste,Bulky waste,Bulky waste,Bulky waste
2918,Is it possible that debris can be removed?,Waste,Bulky waste,Bulky waste,Bulky waste
2919,Can something that fell from a container be removed?,Waste,Bulky waste,Bulky waste,Bulky waste
2920,Is it possible to remove debris that fell from a container?,Waste,Bulky waste,Bulky waste,Bulky waste
2921,A frame with broken glass is in the bushes next to the lawn.,Waste,Bulky waste,Bulky waste,Bulky waste
2922,There is a frame with broken glass in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
2923,A frame with broken glass is in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
2924,There is a frame with broken glass next to the lawn.,Waste,Bulky waste,Bulky waste,Bulky waste
2925,There is also construction and demolition waste.,Waste,Bulky waste,Bulky waste,Bulky waste
2926,The construction and demolition waste is already made.,Waste,Bulky waste,Bulky waste,Bulky waste
2927,There are debris bags on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2928,There are bags on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2929,There are bags on the street with tiles.,Waste,Bulky waste,Bulky waste,Bulky waste
2930,There is still a request to dump the toilet.,Waste,Bulky waste,Bulky waste,Bulky waste
2931,The second request to dump the toilet is still present.,Waste,Bulky waste,Bulky waste,Bulky waste
2932,The toilet is still present.,Waste,Bulky waste,Bulky waste,Bulky waste
2933,The toilet is still there.,Waste,Bulky waste,Bulky waste,Bulky waste
2934,It has been there for a year and a half and is getting worse.,Waste,Bulky waste,Bulky waste,Bulky waste
2935,The place has been there for a year and a half and is getting worse.,Waste,Bulky waste,Bulky waste,Bulky waste
2936,There is a lot of construction and demolition waste dumped.,Waste,Bulky waste,Bulky waste,Bulky waste
2937,Mister says that curbs have been dumped on the side of the school for children who are difficult to educate.,Waste,Bulky waste,Bulky waste,Bulky waste
2938,Please pick up the two pallets that are on the sidewalk.,Waste,Bulky waste,Bulky waste,Bulky waste
2939,There are two pallets on the sidewalk.,Waste,Bulky waste,Bulky waste,Bulky waste
2940,"There are two pallets on the sidewalk, please pick them up.",Waste,Bulky waste,Bulky waste,Bulky waste
2941,There are two crates on the sidewalk for about four weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
2942,There is construction waste next to the porch.,Waste,Bulky waste,Bulky waste,Bulky waste
2943,The construction waste is next to the porch.,Waste,Bulky waste,Bulky waste,Bulky waste
2944,Yes when placed in a container.,Waste,Bulky waste,Bulky waste,Bulky waste
2945,"Yes, when placed in a container.",Waste,Bulky waste,Bulky waste,Bulky waste
2946,There is construction waste from Loosduinsekade.,Waste,Bulky waste,Bulky waste,Bulky waste
2947,There is construction waste in the area.,Waste,Bulky waste,Bulky waste,Bulky waste
2948,The construction waste is from Loosduinsekade.,Waste,Bulky waste,Bulky waste,Bulky waste
2949,There is debris and also rest.,Waste,Bulky waste,Bulky waste,Bulky waste
2950,"Also rest, but with debris.",Waste,Bulky waste,Bulky waste,Bulky waste
2951,Also rest is debris.,Waste,Bulky waste,Bulky waste,Bulky waste
2952,But also rest.,Waste,Bulky waste,Bulky waste,Bulky waste
2953,There are a lot of paving stones.,Waste,Bulky waste,Bulky waste,Bulky waste
2954,There are many paving stones on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
2955,A lot of paving stones are on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
2956,The road has a lot of paving stones on it.,Waste,Bulky waste,Bulky waste,Bulky waste
2957,There is a bag of tiles.,Waste,Bulky waste,Bulky waste,Bulky waste
2958,There is a bag of tiles at orac.,Waste,Bulky waste,Bulky waste,Bulky waste
2959,There is a bag of tiles,Waste,Bulky waste,Bulky waste,Bulky waste
2960,A bag of tiles.,Waste,Bulky waste,Bulky waste,Bulky waste
2961,There are tiles in the green on the Leyweg.,Waste,Bulky waste,Bulky waste,Bulky waste
2962,The tiles were dumped in the green.,Waste,Bulky waste,Bulky waste,Bulky waste
2963,There is a photo of a stack of wooden planks.,Waste,Bulky waste,Bulky waste,Bulky waste
2964,A photo shows a stack of wooden planks.,Waste,Bulky waste,Bulky waste,Bulky waste
2965,See the photo of a stack of wooden planks.,Waste,Bulky waste,Bulky waste,Bulky waste
2966,There is a photo of a stack of wooden planked objects.,Waste,Bulky waste,Bulky waste,Bulky waste
2967,There are plaster blocks on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2968,The plaster blocks are on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2969,There are blocks on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2970,There is a large concrete block in the middle of the intersection.,Waste,Bulky waste,Bulky waste,Bulky waste
2971,There is a concrete block in the middle of the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2972,There is a large concrete block in the middle of the intersection and police want it removed immediately.,Waste,Bulky waste,Bulky waste,Bulky waste
2973,There is a large concrete block in the middle of the intersection and police want to remove it.,Waste,Bulky waste,Bulky waste,Bulky waste
2974,Would you like to take someone with you to the parking lot?,Waste,Bulky waste,Bulky waste,Bulky waste
2975,Do you want to send someone over to the parking lot?,Waste,Bulky waste,Bulky waste,Bulky waste
2976,Would you like to send someone to the parking lot?,Waste,Bulky waste,Bulky waste,Bulky waste
2977,The parking lot has a lot of things in it.,Waste,Bulky waste,Bulky waste,Bulky waste
2978,Not included are neighbors with bulky waste appointment.,Waste,Bulky waste,Bulky waste,Bulky waste
2979,Not included are neighbors with bulky waste appointments.,Waste,Bulky waste,Bulky waste,Bulky waste
2980,The toilet is not included with the neighbors.,Waste,Bulky waste,Bulky waste,Bulky waste
2981,There is a toilet bowl on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2982,There is waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2983,The toilet bowl is on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
2984,There is a pile of sand in a parking space.,Waste,Bulky waste,Bulky waste,Bulky waste
2985,People who have opened the street for work have left a pile of sand in the parking space.,Waste,Bulky waste,Bulky waste,Bulky waste
2986,The wood is near the tree.,Waste,Bulky waste,Bulky waste,Bulky waste
2987,There are wooden planks near the tree.,Waste,Bulky waste,Bulky waste,Bulky waste
2988,There are wooden planked near the tree.,Waste,Bulky waste,Bulky waste,Bulky waste
2989,The wooden plank is near the tree.,Waste,Bulky waste,Bulky waste,Bulky waste
2990,Next to oracs is a concrete post and wooden plank.,Waste,Bulky waste,Bulky waste,Bulky waste
2991,The oracs are next to a concrete post and wooden plank.,Waste,Bulky waste,Bulky waste,Bulky waste
2992,There is a concrete post and wooden plank next to an orac.,Waste,Bulky waste,Bulky waste,Bulky waste
2993,Is it possible to remove the fence and container that were left behind after the construction work?,Waste,Bulky waste,Bulky waste,Bulky waste
2994,"fences and a container were left behind after construction work, could they be removed?",Waste,Bulky waste,Bulky waste,Bulky waste
2995,Is it possible to remove the fence and container that were left behind?,Waste,Bulky waste,Bulky waste,Bulky waste
2996,The tiles have been on the sidewalk for two months.,Waste,Bulky waste,Bulky waste,Bulky waste
2997,The tiles have been on the sidewalk for 2 months.,Waste,Bulky waste,Bulky waste,Bulky waste
2998,The tiles have been on the sidewalk for over a month.,Waste,Bulky waste,Bulky waste,Bulky waste
2999,The tiles have been on the sidewalk for a couple of months.,Waste,Bulky waste,Bulky waste,Bulky waste
3000,The side of the flat has a toilet on it.,Waste,Bulky waste,Bulky waste,Bulky waste
3001,There is a toilet on the side of the house.,Waste,Bulky waste,Bulky waste,Bulky waste
3002,There is a toilet on the side of the building.,Waste,Bulky waste,Bulky waste,Bulky waste
3003,There is a toilet in the house.,Waste,Bulky waste,Bulky waste,Bulky waste
3004,There is a toilet in the flat.,Waste,Bulky waste,Bulky waste,Bulky waste
3005,The waste includes marble floor tiles.,Waste,Bulky waste,Bulky waste,Bulky waste
3006,"There is a lot of waste, including marble floor tiles.",Waste,Bulky waste,Bulky waste,Bulky waste
3007,"Huge waste, including marble floor tiles.",Waste,Bulky waste,Bulky waste,Bulky waste
3008,marble floor tiles are bulky waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3009,The public road has a toilet bowl on it.,Waste,Bulky waste,Bulky waste,Bulky waste
3010,There is a toilet bowl on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
3011,There is a bowl on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
3012,There is a pot at an ORAC.,Waste,Bulky waste,Bulky waste,Bulky waste
3013,There is a Pot at an ORAC.,Waste,Bulky waste,Bulky waste,Bulky waste
3014,A pot is at an ORAC.,Waste,Bulky waste,Bulky waste,Bulky waste
3015,The pot is at an ORAC.,Waste,Bulky waste,Bulky waste,Bulky waste
3016,There are stones and stones on the sidewalk.,Waste,Bulky waste,Bulky waste,Bulky waste
3017,There is a shopping cart with stones and stones on the sidewalk.,Waste,Bulky waste,Bulky waste,Bulky waste
3018,A shopping cart with stones and stones on the sidewalk is not close to the store.,Waste,Bulky waste,Bulky waste,Bulky waste
3019,A shopping cart with stones and stones is on the sidewalk.,Waste,Bulky waste,Bulky waste,Bulky waste
3020,"Plastic containers, cardboard.",Waste,Bulky waste,Bulky waste,Bulky waste
3021,"Polystyrene foam, plastic containers, cardboard.",Waste,Bulky waste,Bulky waste,Bulky waste
3022,A safe and a pipe and iron stop can be removed from the water.,Waste,Bulky waste,Bulky waste,Bulky waste
3023,There is a pipe and iron stop that can be removed and a safe that has been removed from the water.,Waste,Bulky waste,Bulky waste,Bulky waste
3024,This mess has been there for a while.,Waste,Bulky waste,Bulky waste,Bulky waste
3025,The mess has been there for a while.,Waste,Bulky waste,Bulky waste,Bulky waste
3026,This mess has been there for a long time.,Waste,Bulky waste,Bulky waste,Bulky waste
3027,The mess has been there for a long time.,Waste,Bulky waste,Bulky waste,Bulky waste
3028,There is a mess between Zuidlarenstraat and Gasseltestraat.,Waste,Bulky waste,Bulky waste,Bulky waste
3029,There is a toilet bowl and tube.,Waste,Bulky waste,Bulky waste,Bulky waste
3030,The toilet bowl and tube has a container.,Waste,Bulky waste,Bulky waste,Bulky waste
3031,A toilet bowl and tube.,Waste,Bulky waste,Bulky waste,Bulky waste
3032,There is a toilet bowl.,Waste,Bulky waste,Bulky waste,Bulky waste
3033,The toilet bowl has painting material on it.,Waste,Bulky waste,Bulky waste,Bulky waste
3034,Nothing is being done with the building materials that have been here for 2 weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
3035,Nothing is being done with the building materials that have been here for two weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
3036,There is nothing being done with the building materials that have been here for 2 weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
3037,Construction and demolition waste is illegal.,Waste,Bulky waste,Bulky waste,Bulky waste
3038,Construction and demolition waste is not legal.,Waste,Bulky waste,Bulky waste,Bulky waste
3039,Construction waste is illegal.,Waste,Bulky waste,Bulky waste,Bulky waste
3040,"""Deposited debris""",Waste,Bulky waste,Bulky waste,Bulky waste
3041,"ViaBB: ""Deposited debris"".",Waste,Bulky waste,Bulky waste,Bulky waste
3042,Someone has been kind enough to dispose of construction waste in the parking lot.,Waste,Bulky waste,Bulky waste,Bulky waste
3043,Someone has been nice enough to dump construction waste in the parking lot.,Waste,Bulky waste,Bulky waste,Bulky waste
3044,There is a bag next to the orac.,Waste,Bulky waste,Bulky waste,Bulky waste
3045,The bag is next to the orac.,Waste,Bulky waste,Bulky waste,Bulky waste
3046,An illegal bulky waste placement has been found at the location Nunspeetlaan corner Terletstraat.,Waste,Bulky waste,Bulky waste,Bulky waste
3047,There is an illegal bulky waste placement at the location Nunspeetlaan corner Terletstraat.,Waste,Bulky waste,Bulky waste,Bulky waste
3048,Construction and demolition waste includes glass.,Waste,Bulky waste,Bulky waste,Bulky waste
3049,Other construction and demolition waste includes cupboards.,Waste,Bulky waste,Bulky waste,Bulky waste
3050,There is construction and demolition waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3051,Next to the orac is a toilet bowl.,Waste,Bulky waste,Bulky waste,Bulky waste
3052,There is a toilet near the orac.,Waste,Bulky waste,Bulky waste,Bulky waste
3053,bulky waste from wehlstraat,Waste,Bulky waste,Bulky waste,Bulky waste
3054,Wehlstraat has bulky waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3055,bulky waste from wehlstraat.,Waste,Bulky waste,Bulky waste,Bulky waste
3056,There is a parking lot for roofing.,Waste,Bulky waste,Bulky waste,Bulky waste
3057,The parking lot has roofing on it.,Waste,Bulky waste,Bulky waste,Bulky waste
3058,The parking lot has a roof.,Waste,Bulky waste,Bulky waste,Bulky waste
3059,"There is a place where a tree will be placed, but construction and demolition waste has been deposited there.",Waste,Bulky waste,Bulky waste,Bulky waste
3060,There is a lot of waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3061,There is a lot of waste on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
3062,There is a lot of garbage on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3063,There is lots of waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3064,There is a lot of stuff on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3065,There is illegal construction waste at lamppost 55.,Waste,Bulky waste,Bulky waste,Bulky waste
3066,The illegal construction waste was dumped at the lamppost.,Waste,Bulky waste,Bulky waste,Bulky waste
3067,The waste was dumped at lamppost 55.,Waste,Bulky waste,Bulky waste,Bulky waste
3068,Next to the orac is a toilet bowl.,Waste,Bulky waste,Bulky waste,Bulky waste
3069,There is a toilet near the orac.,Waste,Bulky waste,Bulky waste,Bulky waste
3070,There is a bag with construction waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3071,The bag has construction waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3072,A bag with construction waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3073,"Mr. received a message from the department that there was nothing there, but that's not right.",Waste,Bulky waste,Bulky waste,Bulky waste
3074,"Mr. received a message from the department that there was nothing there, but that's not right, can you remove this asap?",Waste,Bulky waste,Bulky waste,Bulky waste
3075,There are two garbage bags with sand.,Waste,Bulky waste,Bulky waste,Bulky waste
3076,Someone dumped the garbage bags with the sand by the side of the road.,Waste,Bulky waste,Bulky waste,Bulky waste
3077,There is a fire hazard.,Waste,Bulky waste,Bulky waste,Bulky waste
3078,There's a fire hazard.,Waste,Bulky waste,Bulky waste,Bulky waste
3079,There is a fire hazard with the dumped Pallets.,Waste,Bulky waste,Bulky waste,Bulky waste
3080,There is a fire hazard from the dumped pallet.,Waste,Bulky waste,Bulky waste,Bulky waste
3081,The photo is of litter and construction waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3082,You can see a photo of litter and construction waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3083,There is a photo of litter and construction waste.,Waste,Bulky waste,Bulky waste,Bulky waste
3084,Take it with you because there are 2 pipes in the grass.,Waste,Bulky waste,Bulky waste,Bulky waste
3085,Take it with you because there are two pipes in the grass.,Waste,Bulky waste,Bulky waste,Bulky waste
3086,Take it with you to the ditch side.,Waste,Bulky waste,Bulky waste,Bulky waste
3087,You should take the 2 pipes along the ditch side with you.,Waste,Bulky waste,Bulky waste,Bulky waste
3088,Crap from giesbers for 8 months.,Waste,Bulky waste,Bulky waste,Bulky waste
3089,I was raped from giesbers for 8 months.,Waste,Bulky waste,Bulky waste,Bulky waste
3090,It took 8 months for giesbers to be raped.,Waste,Bulky waste,Bulky waste,Bulky waste
3091,There are two toilet bowls.,Waste,Bulky waste,Bulky waste,Bulky waste
3092,The toilet bowls have a container.,Waste,Bulky waste,Bulky waste,Bulky waste
3093,There are two toilets with a container.,Waste,Bulky waste,Bulky waste,Bulky waste
3094,Two toilets with a container.,Waste,Bulky waste,Bulky waste,Bulky waste
3095,The kitchen door is made of plastic.,Waste,Bulky waste,Bulky waste,Bulky waste
3096,A kitchen door made of plastic.,Waste,Bulky waste,Bulky waste,Bulky waste
3097,Kitchen door made of plastic.,Waste,Bulky waste,Bulky waste,Bulky waste
3098,There is a plastic kitchen door.,Waste,Bulky waste,Bulky waste,Bulky waste
3099,Mister wants to pass this on because he doesn't want to be fined later.,Waste,Bulky waste,Bulky waste,Bulky waste
3100,Mister wanted to pass this on because he didn't want to be fined later.,Waste,Bulky waste,Bulky waste,Bulky waste
3101,There is a cement container where waste is put in and there is cloudy water in it.,Waste,Bulky waste,Bulky waste,Bulky waste
3102,There is a toilet bowl next to 18.,Waste,Bulky waste,Bulky waste,Bulky waste
3103,The placement of a toilet bowl.,Waste,Bulky waste,Bulky waste,Bulky waste
3104,The ditch has garden tiles on it.,Waste,Bulky waste,Bulky waste,Bulky waste
3105,There are tiles at the ditch.,Waste,Bulky waste,Bulky waste,Bulky waste
3106,There are tiles at the ditch side.,Waste,Bulky waste,Bulky waste,Bulky waste
3107,There are garden tiles at the ditch.,Waste,Bulky waste,Bulky waste,Bulky waste
3108,The tiles are at the ditch side.,Waste,Bulky waste,Bulky waste,Bulky waste
3109,The reporter says that items have been dumped on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3110,The reporter said that items have been dumped on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3111,"The reporter states that he has already reported this, but is still standing.",Waste,Bulky waste,Bulky waste,Bulky waste
3112,"The reporter says that he has already reported this, but is still standing.",Waste,Bulky waste,Bulky waste,Bulky waste
3113,There is construction waste next to a gray electricity box.,Waste,Bulky waste,Bulky waste,Bulky waste
3114,There is construction waste near a gray electricity box.,Waste,Bulky waste,Bulky waste,Bulky waste
3115,There are tires on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3116,There are car tires on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3117,The tires are on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3118,The car tires are on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
3119,There are car tires on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
3120,There are paving stones in the grass.,Waste,Bulky waste,Bulky waste,Bulky waste
3121,It would be nice if the tiles were removed.,Waste,Bulky waste,Bulky waste,Bulky waste
3122,"There are paving stones in the grass, but the tiles are passed over.",Waste,Bulky waste,Bulky waste,Bulky waste
3123,"The grass is mowed regularly, but the tiles are passed over.",Waste,Bulky waste,Bulky waste,Bulky waste
3124,The contractor left a lot of sand after the street was broken open.,Waste,Bulky waste,Bulky waste,Bulky waste
3125,There is a lot of sand left by the contractor after the street was broken open.,Waste,Bulky waste,Bulky waste,Bulky waste
3126,The contractor left a large amount of sand after the street was broken open.,Waste,Bulky waste,Bulky waste,Bulky waste
3127,Construction waste stone pallet.,Waste,Bulky waste,Bulky waste,Bulky waste
3128,The stone pallet is debris.,Waste,Bulky waste,Bulky waste,Bulky waste
3129,The construction waste is here.,Waste,Bulky waste,Bulky waste,Bulky waste
3130,Construction waste can be found here.,Waste,Bulky waste,Bulky waste,Bulky waste
3131,The orac's are closed and the sink is misrepresented next to them.,Waste,Bulky waste,Bulky waste,Bulky waste
3132,"The sink is next to the orac's which are closed, but Ms says it was installed 14 days ago.",Waste,Bulky waste,Bulky waste,Bulky waste
3133,There is a good chance that an adult or child will trip and fall on the stones.,Waste,Bulky waste,Bulky waste,Bulky waste
3134,"In any case, it is also partly in front of",Waste,Bulky waste,Bulky waste,Bulky waste
3135,"climbing over the wall is very easy, so we are really not happy with this, can action be taken on this as soon as possible?",Waste,Bulky waste,Bulky waste,Bulky waste
3136,"In any case, it is also partly in front of our house.",Waste,Bulky waste,Bulky waste,Bulky waste
3137,It is in front of our house and we are not happy about it.,Waste,Bulky waste,Bulky waste,Bulky waste
3138,Can a bucket of concrete be removed?,Waste,Bulky waste,Bulky waste,Bulky waste
3139,Can the concrete in front of the flat be removed?,Waste,Bulky waste,Bulky waste,Bulky waste
3140,Can the concrete be removed?,Waste,Bulky waste,Bulky waste,Bulky waste
3141,There is a bucket in front of the house.,Waste,Bulky waste,Bulky waste,Bulky waste
3142,A contractor is grinding construction tile at Jan Luykenlaan 189 every day and then placing it next to the orac.,Waste,Bulky waste,Bulky waste,Bulky waste
